degree,k,method,ok_pct,f_mean,f_p90,f_p99,t_mean_ms,t_std_ms,t_p50_ms,t_p90_ms,t_p99_ms,source_log
15,5,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,2.965,3.206,4.383,19.35,eval_k_sweep_deg15.log
15,5,anchored,82.62,6.093e-12,1.953e-11,8.7e-11,3.982,3.682,2.8,6.59,20.178,eval_k_sweep_deg15.log
15,5,ann,82.16,6.344e-12,2.189e-11,8.493e-11,3.689,3.606,2.475,6.398,20.026,eval_k_sweep_deg15.log
15,5,lstm,76.96,8.18e-12,3.19e-11,9.032e-11,4.868,4.05,3.745,7.417,22.067,eval_k_sweep_deg15.log
15,5,anchored_fb,85.11,7.208e-12,2.595e-11,8.865e-11,4.089,3.871,2.8,7.18,20.886,eval_k_sweep_deg15.log
15,10,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,2.965,3.206,4.383,19.35,eval_k_sweep_deg15.log
15,10,anchored,85.07,6.293e-12,2.084e-11,8.791e-11,4.899,4.117,3.499,8.56,22.192,eval_k_sweep_deg15.log
15,10,ann,84.98,6.394e-12,2.183e-11,8.63e-11,4.666,4.255,3.196,8.369,22.23,eval_k_sweep_deg15.log
15,10,lstm,84.89,7.941e-12,3.12e-11,9.03e-11,5.424,4.387,4.146,8.849,23.935,eval_k_sweep_deg15.log
15,10,anchored_fb,85.17,6.338e-12,2.112e-11,8.805e-11,4.906,4.142,3.499,8.563,22.206,eval_k_sweep_deg15.log
15,15,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,2.965,3.206,4.383,19.35,eval_k_sweep_deg15.log
15,15,anchored,85.08,6.137e-12,1.997e-11,8.722e-11,5.964,4.696,4.226,11.932,25.285,eval_k_sweep_deg15.log
15,15,ann,84.98,6.33e-12,2.128e-11,8.696e-11,5.846,4.925,3.964,11.997,26.574,eval_k_sweep_deg15.log
15,15,lstm,84.93,7.091e-12,2.672e-11,8.848e-11,6.707,4.998,5.084,12.313,26.892,eval_k_sweep_deg15.log
15,15,anchored_fb,85.17,6.177e-12,2.037e-11,8.73e-11,5.971,4.733,4.226,11.947,25.285,eval_k_sweep_deg15.log
15,20,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,2.965,3.206,4.383,19.35,eval_k_sweep_deg15.log
15,20,anchored,85.1,6.167e-12,1.975e-11,8.584e-11,7.544,5.979,5.303,15.743,30.999,eval_k_sweep_deg15.log
15,20,ann,84.98,6.328e-12,2.16e-11,8.591e-11,7.295,5.931,4.9,15.754,31.227,eval_k_sweep_deg15.log
15,20,lstm,84.93,7.407e-12,2.833e-11,8.848e-11,8.512,5.913,6.717,16.233,30.627,eval_k_sweep_deg15.log
