degree,method,best_k,best_ok_pct,best_f_mean,best_f_p90,best_f_p99,best_t_mean_ms,source_log
15,anchored,25,85.13,6.025e-12,1.897e-11,8.573e-11,8.981,eval_k_sweep_deg15.log
15,anchored_fb,25,85.17,6.042e-12,1.92e-11,8.573e-11,8.986,eval_k_sweep_deg15.log
15,ann,25,85.0,6.126e-12,2.017e-11,8.589e-11,8.811,eval_k_sweep_deg15.log
15,baseline,5,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,eval_k_sweep_deg15.log
15,lstm,25,85.03,6.745e-12,2.365e-11,8.705e-11,9.735,eval_k_sweep_deg15.log
20,anchored,25,84.71,6.31e-12,2.211e-11,8.6e-11,10.165,eval_k_sweep_deg20.log
20,anchored_fb,25,85.15,6.519e-12,2.309e-11,8.63e-11,10.179,eval_k_sweep_deg20.log
20,ann,25,85.07,5.987e-12,1.897e-11,8.544e-11,8.458,eval_k_sweep_deg20.log
20,baseline,5,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,eval_k_sweep_deg20.log
20,lstm,25,85.14,5.956e-12,1.866e-11,8.535e-11,8.941,eval_k_sweep_deg20.log
25,anchored,25,85.08,6.06e-12,2.041e-11,8.452e-11,6.323,eval_k_sweep_deg25.log
25,anchored_fb,25,85.15,6.091e-12,2.062e-11,8.452e-11,6.324,eval_k_sweep_deg25.log
25,ann,25,85.0,6.194e-12,2.04e-11,8.618e-11,6.113,eval_k_sweep_deg25.log
25,baseline,5,85.06,4.434e-11,8.615e-11,9.864e-11,2.039,eval_k_sweep_deg25.log
25,lstm,25,85.13,5.826e-12,1.794e-11,8.642e-11,6.471,eval_k_sweep_deg25.log
30,anchored,25,84.51,6.558e-12,2.308e-11,8.67e-11,9.153,eval_k_sweep_deg30.log
30,anchored_fb,20,85.15,6.63e-12,2.324e-11,8.792e-11,10.698,eval_k_sweep_deg30.log
30,ann,25,85.1,6.072e-12,1.931e-11,8.707e-11,8.246,eval_k_sweep_deg30.log
30,baseline,5,85.06,4.434e-11,8.615e-11,9.864e-11,2.248,eval_k_sweep_deg30.log
30,lstm,25,85.12,5.949e-12,1.914e-11,8.417e-11,8.592,eval_k_sweep_deg30.log
35,anchored,25,85.1,5.642e-12,1.716e-11,8.468e-11,8.985,eval_k_sweep_deg35.log
35,anchored_fb,15,85.16,5.594e-12,1.757e-11,8.447e-11,8.012,eval_k_sweep_deg35.log
35,ann,25,85.05,5.649e-12,1.703e-11,8.451e-11,8.506,eval_k_sweep_deg35.log
35,baseline,5,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,eval_k_sweep_deg35.log
35,lstm,25,85.15,5.884e-12,1.792e-11,8.592e-11,9.109,eval_k_sweep_deg35.log
