degree,method,K5,K10,K15,K20,K25,K30
15,anchored,6.093e-12,6.293e-12,6.137e-12,6.167e-12,6.025e-12,6.011e-12
15,anchored_fb,7.208e-12,6.338e-12,6.177e-12,6.201e-12,6.042e-12,6.115e-12
15,ann,6.344e-12,6.394e-12,6.33e-12,6.328e-12,6.126e-12,6.095e-12
15,baseline,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11
15,lstm,8.18e-12,7.941e-12,7.091e-12,7.407e-12,6.745e-12,6.502e-12
20,anchored,7.867e-12,7.316e-12,6.705e-12,6.886e-12,6.31e-12,6.344e-12
20,anchored_fb,1.054e-11,7.841e-12,7.102e-12,7.259e-12,6.519e-12,6.682e-12
20,ann,7.276e-12,7.037e-12,6.496e-12,6.456e-12,5.987e-12,6.116e-12
20,baseline,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11
20,lstm,6.027e-12,5.918e-12,5.968e-12,5.914e-12,5.956e-12,5.975e-12
25,anchored,8.058e-12,7.188e-12,6.807e-12,6.566e-12,6.06e-12,6.106e-12
25,anchored_fb,9.254e-12,7.293e-12,6.867e-12,6.619e-12,6.091e-12,6.177e-12
25,ann,6.198e-12,6.126e-12,6.262e-12,6.185e-12,6.194e-12,6.398e-12
25,baseline,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11
25,lstm,5.662e-12,5.835e-12,5.886e-12,5.838e-12,5.826e-12,5.754e-12
30,anchored,6.493e-12,6.531e-12,6.368e-12,6.286e-12,6.558e-12,6.467e-12
30,anchored_fb,8.218e-12,6.935e-12,6.741e-12,6.63e-12,6.816e-12,6.774e-12
30,ann,7.733e-12,6.906e-12,6.686e-12,6.516e-12,6.072e-12,5.953e-12
30,baseline,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11
30,lstm,5.325e-12,5.592e-12,5.802e-12,5.814e-12,5.949e-12,5.802e-12
35,anchored,5.901e-12,5.967e-12,5.54e-12,5.692e-12,5.642e-12,5.688e-12
35,anchored_fb,7.173e-12,6.036e-12,5.594e-12,5.744e-12,5.663e-12,5.758e-12
35,ann,5.957e-12,6.193e-12,5.886e-12,5.867e-12,5.649e-12,5.728e-12
35,baseline,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11,4.434e-11
35,lstm,5.593e-12,5.638e-12,5.741e-12,5.744e-12,5.884e-12,5.988e-12
