degree,method,K5,K10,K15,K20,K25,K30
15,anchored,82.62,85.07,85.08,85.1,85.13,84.94
15,anchored_fb,85.11,85.17,85.17,85.17,85.17,85.13
15,ann,82.16,84.98,84.98,84.98,85.0,84.75
15,baseline,85.06,85.06,85.06,85.06,85.06,85.06
15,lstm,76.96,84.89,84.93,84.93,85.03,84.79
20,anchored,78.88,83.96,84.25,84.32,84.71,84.39
20,anchored_fb,85.11,85.15,85.15,85.15,85.15,85.12
20,ann,77.41,84.65,84.82,84.82,85.07,84.94
20,baseline,85.06,85.06,85.06,85.06,85.06,85.06
20,lstm,84.63,85.12,85.12,85.12,85.14,85.11
25,anchored,82.26,84.91,85.01,85.03,85.08,84.96
25,anchored_fb,85.1,85.14,85.15,85.15,85.15,85.12
25,ann,82.18,84.98,84.99,84.99,85.0,84.79
25,baseline,85.06,85.06,85.06,85.06,85.06,85.06
25,lstm,83.08,85.07,85.11,85.11,85.13,85.03
30,anchored,81.19,84.27,84.34,84.38,84.51,84.39
30,anchored_fb,85.11,85.15,85.15,85.15,85.15,85.12
30,ann,77.57,84.98,85.04,85.04,85.1,85.0
30,baseline,85.06,85.06,85.06,85.06,85.06,85.06
30,lstm,83.64,85.09,85.11,85.11,85.12,85.08
35,anchored,82.31,85.02,85.04,85.05,85.1,85.02
35,anchored_fb,85.11,85.16,85.16,85.16,85.16,85.15
35,ann,82.17,85.03,85.04,85.04,85.05,84.73
35,baseline,85.06,85.06,85.06,85.06,85.06,85.06
35,lstm,84.55,85.13,85.14,85.14,85.15,85.12
