degree,method,K5,K10,K15,K20,K25,K30
15,anchored,3.982,4.899,5.964,7.544,8.981,10.429
15,anchored_fb,4.089,4.906,5.971,7.55,8.986,10.44
15,ann,3.689,4.666,5.846,7.295,8.811,10.195
15,baseline,3.79,3.79,3.79,3.79,3.79,3.79
15,lstm,4.868,5.424,6.707,8.512,9.735,11.405
20,anchored,3.526,4.399,5.328,6.674,10.165,11.512
20,anchored_fb,3.732,4.438,5.357,6.701,10.179,11.536
20,ann,3.499,4.161,4.872,6.016,8.458,9.608
20,baseline,3.065,3.065,3.065,3.065,3.065,3.065
20,lstm,3.206,4.262,5.153,6.277,8.941,10.3
25,anchored,2.877,3.47,5.028,5.315,6.323,7.535
25,anchored_fb,2.941,3.475,5.031,5.317,6.324,7.538
25,ann,2.502,3.202,4.671,5.085,6.113,7.306
25,baseline,2.039,2.039,2.039,2.039,2.039,2.039
25,lstm,2.589,3.334,4.885,5.298,6.471,7.797
30,anchored,3.332,4.204,6.148,10.68,9.153,10.19
30,anchored_fb,3.426,4.224,6.167,10.698,9.169,10.207
30,ann,3.296,3.914,5.553,8.87,8.246,9.23
30,baseline,2.248,2.248,2.248,2.248,2.248,2.248
30,lstm,3.03,3.951,5.733,9.103,8.592,9.837
35,anchored,3.289,4.568,8.01,9.685,8.985,10.559
35,anchored_fb,3.35,4.571,8.012,9.687,8.987,10.562
35,ann,2.988,4.147,6.859,8.427,8.506,10.198
35,baseline,2.032,2.032,2.032,2.032,2.032,2.032
35,lstm,3.11,4.41,7.28,8.957,9.109,10.981
