K,index,func_id,expr,ssl_root,ssl_abs,ssl_ok,ssl_time_ms,baseline_root,baseline_abs,baseline_ok,baseline_time_ms,winner
20,0,12,(1.71404*exp(-0.0807301*x)*sin(0.541319*x) - 1.25308)/1.25308 = 0,nan,inf,False,2.702566001971718,3.408419996880302,2.1312085998933322e-11,True,2.378352000960149,baseline
20,1,9,1.65102 + 0.639815*x + 1.37698*log(1+0.05*x) - 2.61043 = 0,nan,inf,False,2.837015999830328,1.3581160945403172,2.5912605394751154e-12,True,2.1383860002970323,baseline
20,2,12,3.78345*exp(-0.181742*x)*sin(2.65795*x) - 0.165845 = 0,nan,inf,False,2.165272999263834,17.048361020520886,3.192088260384196e-11,True,2.2761889995308593,baseline
20,3,1,(1.01857*exp(-0.105927*x)*cos(1.50594*x) + 0.348143*cos(1.79438*x) - 0.23077)/1.13594 = 0,nan,inf,False,2.382200000283774,13.461875677506018,9.426078770633056e-11,True,2.400458004558459,baseline
20,4,5,(3.42707*exp(-0.566335*x)*sin(1.4723*x) - -1.45961)/1.45961 = 0,nan,inf,False,2.3439009964931756,nan,inf,False,1.4930730030755512,none
20,5,10,(724.273*exp(-5.72819/(1+x)) - 31.0311)/28.6751 = 0,nan,inf,False,2.5261629998567514,0.8183699947317551,8.846244794566251e-11,True,2.0165369933238253,baseline
20,6,11,0.890274*(exp(1.52221*x)-1) - 0.492749 = 0,nan,inf,False,5.758228995546233,0.28938036247549903,5.2483073442743944e-11,True,1.9708179970621131,baseline
20,7,5,(0.878069*exp(-0.674483*x)*sin(2.46775*x) - -1.04252)/1.04252 = 0,nan,inf,False,2.539374996558763,nan,inf,False,1.5080559969646856,none
20,8,9,0.516433 + 2.56293*x + -0.357737*log(1+0.363672*x) - -0.000625118 = 0,nan,inf,False,2.4878640033421107,nan,inf,False,1.3545730034820735,none
20,9,1,(1.02289*exp(-0.497793*x)*cos(1.92342*x) + 1.35436*cos(1.42009*x) - 0.515458)/1.86179 = 0,nan,inf,False,2.517948996683117,9.684698318291513,7.153660122372421e-11,True,2.3793130021658726,baseline
20,10,6,(31.4314 + (62.345-31.4314)*exp(-0.236595*x)*cosh(1.49552*x) - 71.1143)/8.76931 = 0,nan,inf,False,2.0578249968821183,0.6395621541743803,9.493176544919139e-11,True,2.1564400012721308,baseline
20,11,1,(1.87662*exp(-0.0566178*x)*cos(1.79546*x) + 1.94547*cos(2.46239*x) - 0.91442)/2.90767 = 0,nan,inf,False,2.6760750042740256,15.540722429827186,3.05666716007464e-11,True,2.4292390007758513,baseline
20,12,5,(2.65995*exp(-0.22428*x)*sin(2.5047*x) - 1.69412)/1.69412 = 0,nan,inf,False,2.577609004219994,0.29914078374788644,4.1173118794849026e-11,True,2.3142980062402785,baseline
20,13,12,(1.69759*exp(-0.454201*x)*sin(1.60688*x) - 1.72407)/1.72407 = 0,nan,inf,False,2.623911997943651,nan,inf,False,1.6065189993241802,none
20,14,10,(734.686*exp(-6.52936/(1+x)) - 2.84625)/1.77365 = 0,nan,inf,False,2.29881899576867,0.1757323371455774,7.809875806795122e-11,True,2.1880530039197765,baseline
20,15,0,(2.29805 * exp(-0.0619938*x) * cos(2.39488*x) - 0.0255174)/2.27253 = 0,nan,inf,False,2.3395030002575368,19.00596789450286,4.391871025089468e-12,True,2.3084260028554127,baseline
20,16,13,0.5*0.797371*x^2 + 1.36527*x^3 + 0.226711*x^4 - -0.93414 = 0,nan,inf,False,3.682082002342213,-1.0755692109516377,9.072720352776287e-11,True,1.8307559948880225,baseline
20,17,0,1.22105 * exp(-0.359672*x) * cos(2.5453*x) - 0.253013 = 0,nan,inf,False,2.1699179997085594,2.8443388520383133,9.723405414163722e-11,True,2.2236020013224334,baseline
20,18,12,0.544796*exp(-0.323785*x)*sin(0.696575*x) - 0.610458 = 0,nan,inf,False,2.4927260019467212,nan,inf,False,1.502737999544479,none
20,19,12,(1.73232*exp(-0.576989*x)*sin(2.8595*x) - -1.49273)/1.49273 = 0,nan,inf,False,2.499756999895908,nan,inf,False,1.4826369952061214,none
20,20,0,0.64866 * exp(-0.335578*x) * cos(1.57444*x) - -0.0223009 = 0,nan,inf,False,2.045042005192954,9.662647017328744,5.580011799843909e-11,True,2.1648800029652193,baseline
20,21,2,0.5*2.28001*x^2 + 1.64102*x^3 + 1.16666*x^4 - 0.470015 = 0,nan,inf,False,2.8036319999955595,-0.88423782154745,3.1056768268200585e-11,True,1.8159539977204986,baseline
20,22,2,(0.5*4.91874*x^2 + 0.285582*x^3 + 0.112177*x^4 - 1.6359)/1.6359 = 0,nan,inf,False,3.797122000833042,0.7717593266471319,3.8802494915913766e-11,True,1.8303980032214895,baseline
20,23,11,(0.58987*(exp(1.93857*x)-1) - -1.24997)/1.24997 = 0,nan,inf,False,5.3817720036022365,nan,inf,False,1.3820960011798888,none
20,24,13,(0.5*1.07331*x^2 + -1.70575*x^3 + 0.23362*x^4 - 2.21313)/2.21313 = 0,nan,inf,False,2.696192001167219,-0.9616684709427838,8.280121806263054e-11,True,1.8809789980878122,baseline
20,25,13,(0.5*3.35331*x^2 + -0.0137132*x^3 + 0.410732*x^4 - 1.0424)/1.0424 = 0,nan,inf,False,3.2354189970646985,0.7421258613698296,5.272899027104502e-11,True,1.8271609951625578,baseline
20,26,5,(3.69896*exp(-0.395266*x)*sin(1.76867*x) - 1.15866)/1.15866 = 0,nan,inf,False,2.538076994824223,0.1951593832109833,4.284303757931138e-11,True,2.144711004802957,baseline
20,27,12,(4.83359*exp(-0.650688*x)*sin(1.70315*x) - 1.25414)/1.25414 = 0,nan,inf,False,2.157691997126676,1.4247224294992487,5.0986479405573213e-11,True,2.159602001484018,baseline
20,28,0,0.717037 * exp(-0.581314*x) * cos(2.47289*x) - 0.598393 = 0,nan,inf,False,2.046571004029829,0.16457673327410444,2.780931041002077e-11,True,2.137864998076111,baseline
20,29,12,(4.9086*exp(-0.780488*x)*sin(1.75919*x) - 1.01379)/1.01379 = 0,nan,inf,False,2.1623650027322583,1.4063878571764703,5.327327085088171e-12,True,2.1434410009533167,baseline
20,30,13,0.5*3.65706*x^2 + -0.824303*x^3 + 1.55854*x^4 - 0.424109 = 0,nan,inf,False,3.7048180020065047,0.4859432167348841,8.322731392951255e-12,True,1.8035690009128302,baseline
20,31,1,(1.02035*exp(-0.105211*x)*cos(1.90065*x) + 1.29671*cos(1.8681*x) - 0.647563)/1.6695 = 0,nan,inf,False,2.9618650005431846,16.187855495016812,4.36980324475254e-12,True,2.431528002489358,baseline
20,32,13,(0.5*3.06062*x^2 + 1.30383*x^3 + 1.1111*x^4 - 1.87946)/1.87946 = 0,nan,inf,False,3.127849005977623,-1.1289900193682274,7.610237223994577e-11,True,1.8520059966249391,baseline
20,33,6,(7.6247 + (42.4066-7.6247)*exp(-0.438327*x)*cosh(1.17238*x) - 48.4499)/6.0433 = 0,nan,inf,False,2.5494529982097447,1.0514001958407326,6.31614445171224e-12,True,2.216846994997468,baseline
20,34,10,(562.17*exp(-1.10932/(1+x)) - 71.3022)/114.092 = 0,nan,inf,False,2.7484640013426542,nan,inf,False,1.3549319992307574,none
20,35,2,(0.5*4.55499*x^2 + -0.633029*x^3 + 0.553993*x^4 - 1.93075)/1.93075 = 0,nan,inf,False,3.8392339993151836,0.9426070748535977,2.1664170162870712e-11,True,1.8273460009368137,baseline
20,36,10,(589.133*exp(-5.2893/(1+x)) - 25.6224)/22.6501 = 0,nan,inf,False,2.5506660022074357,0.6870774793727205,3.975806286656381e-11,True,1.9649420064524747,baseline
20,37,1,(0.482711*exp(-0.227597*x)*cos(0.848467*x) + 1.06855*cos(1.99751*x) - 0.28741)/1.26385 = 0,nan,inf,False,2.607170994451735,10.07137946113741,6.764063534861488e-11,True,2.3846460026106797,baseline
20,38,1,(0.440775*exp(-0.283925*x)*cos(1.14008*x) + 0.899664*cos(0.581235*x) - -0.611945)/1.95238 = 0,nan,inf,False,2.5811839950620197,17.628199228420094,1.2564573401849376e-11,True,2.358901001571212,baseline
20,39,0,(1.47823 * exp(-0.400088*x) * cos(2.56*x) - 0.361373)/1.11686 = 0,nan,inf,False,2.511525002773851,2.746299069602819,8.48069691919483e-11,True,2.163105004001409,baseline
20,40,12,(4.26625*exp(-0.618197*x)*sin(2.22818*x) - 1.6519)/1.6519 = 0,nan,inf,False,2.37016399478307,0.20410897548052553,3.9201041468561315e-11,True,2.153150999220088,baseline
20,41,1,(1.98427*exp(-0.423812*x)*cos(0.75967*x) + 0.749982*cos(1.67276*x) - 0.916819)/1.81743 = 0,nan,inf,False,2.415945004031528,0.977928079846857,4.445021615261363e-11,True,2.3193169981823303,baseline
20,42,10,(889.605*exp(-6.68342/(1+x)) - 35.6429)/34.5296 = 0,nan,inf,False,2.18319700070424,1.0773849045923334,6.703748965669524e-11,True,1.9867090013576671,baseline
20,43,1,(0.685051*exp(-0.126535*x)*cos(1.3658*x) + 1.62183*cos(1.5718*x) - 0.343806)/1.96307 = 0,nan,inf,False,2.424729995254893,15.136480191146335,1.1999850032369134e-11,True,2.4045169993769377,baseline
20,44,0,1.46919 * exp(-0.173587*x) * cos(2.69233*x) - 0.789457 = 0,nan,inf,False,2.088483000989072,0.35737852391745695,7.498224263713382e-12,True,2.2294109949143603,baseline
20,45,0,0.668559 * exp(-0.629948*x) * cos(2.55307*x) - -0.203329 = 0,nan,inf,False,2.5159949946100824,1.4952891772282741,6.194933455105911e-12,True,2.2139110005809925,baseline
20,46,2,0.5*1.82334*x^2 + -0.891516*x^3 + 0.785846*x^4 - 0.461446 = 0,nan,inf,False,2.7382359985494986,-0.5348221349608182,9.223438679484275e-11,True,1.858820003690198,baseline
20,47,9,-0.578603 + 0.824526*x + 1.0546*log(1+0.05*x) - -0.676231 = 0,nan,inf,False,2.3987340027815662,nan,inf,False,1.3844709974364378,none
20,48,5,3.25554*exp(-0.508099*x)*sin(1.4571*x) - 0.263096 = 0,nan,inf,False,2.121552999597043,2.00141723064492,4.037253864552781e-11,True,2.152900997316465,baseline
20,49,1,0.320572*exp(-0.132221*x)*cos(1.95745*x) + 1.12111*cos(2.2954*x) - 0.92133 = 0,nan,inf,False,2.0443539979169145,13.931365977232264,9.20726828113061e-11,True,2.3931620016810484,baseline
20,50,2,0.5*4.70429*x^2 + -0.241202*x^3 + 1.56976*x^4 - 0.00562774 = 0,nan,inf,False,3.7875809939578176,-0.04875392255671038,6.22768199856627e-11,True,1.8239339988213032,baseline
20,51,0,(2.03539 * exp(-0.29311*x) * cos(2.2931*x) - -0.0309707)/2.06636 = 0,nan,inf,False,2.3684580010012724,12.716555887757346,3.450874205022574e-11,True,2.3322319975704886,baseline
20,52,6,(31.1978 + (35.5687-31.1978)*exp(-0.440794*x)*cosh(0.700409*x) - 50.8064)/15.2377 = 0,nan,inf,False,2.3220820003189147,8.451511935825334,2.957357793147346e-11,True,2.2149869982968085,baseline
20,53,13,0.5*1.24579*x^2 + 1.22867*x^3 + 0.14296*x^4 - -0.752358 = 0,nan,inf,False,4.2958839985658415,-1.1332159001647686,4.39870362356487e-13,True,1.8308670041733421,baseline
20,54,6,(37.0748 + (42.5462-37.0748)*exp(-0.237729*x)*cosh(0.833143*x) - 61.1174)/18.5712 = 0,nan,inf,False,2.4680309943505563,3.646446424397725,3.108012301520646e-11,True,2.174361994548235,baseline
20,55,13,(0.5*4.50439*x^2 + -0.937168*x^3 + 0.111736*x^4 - 1.32699)/1.32699 = 0,nan,inf,False,3.4785009993356653,-0.6726204083466572,5.261760543915231e-11,True,1.8449339986545965,baseline
20,56,0,(1.56739 * exp(-0.517713*x) * cos(1.44366*x) - 0.416999)/1.1504 = 0,nan,inf,False,2.2780159997637384,0.8009317655475452,3.12623227413497e-11,True,2.1448850020533428,baseline
20,57,2,(0.5*4.61803*x^2 + 1.00616*x^3 + 0.620089*x^4 - 2.62816)/2.62816 = 0,nan,inf,False,4.493149004701991,-1.153954510122222,2.7547231376410175e-11,True,1.8310550003661774,baseline
20,58,0,(1.66094 * exp(-0.2169*x) * cos(2.39117*x) - -0.765787)/2.42673 = 0,nan,inf,False,2.4921079966588877,0.9060892641104764,9.067866749669261e-11,True,2.2124960014480166,baseline
20,59,10,(499.257*exp(-5.2522/(1+x)) - 82.2484)/79.6343 = 0,nan,inf,False,2.435724003589712,1.9124247646754715,4.771862619830747e-11,True,1.9699469994520769,baseline
20,60,5,(1.27936*exp(-0.688614*x)*sin(2.72262*x) - -1.69792)/1.69792 = 0,nan,inf,False,2.7086850022897124,nan,inf,False,1.4616130065405741,none
20,61,0,(1.68856 * exp(-0.147405*x) * cos(1.4152*x) - -0.238197)/1.92676 = 0,nan,inf,False,2.545235001889523,3.1694277152738635,1.9935854609958494e-11,True,2.142929006367922,baseline
20,62,0,(1.23591 * exp(-0.364939*x) * cos(2.90565*x) - -0.0822789)/1.31819 = 0,nan,inf,False,2.4979600057122298,5.749212781505031,6.912190908894567e-11,True,2.1394799987319857,baseline
20,63,3,(4.77561*x + 0.637394*tanh(0.379332*x) - -2.8331)/2.8331 = 0,nan,inf,False,5.015169997932389,-0.565065183867532,2.070749534687887e-11,True,1.9866819930030033,baseline
20,64,1,(1.16715*exp(-0.151546*x)*cos(1.18029*x) + 0.560873*cos(2.20371*x) - 0.300395)/1.42763 = 0,nan,inf,False,2.571167999121826,16.585825650421558,2.2960548789675233e-11,True,2.3864440008765087,baseline
20,65,6,(17.4176 + (80.4751-17.4176)*exp(-0.492244*x)*cosh(0.914582*x) - 83.7196)/3.24454 = 0,nan,inf,False,2.3408790002577007,1.6462207875174628,5.1188229781899995e-11,True,2.1487589983735234,baseline
20,66,1,(1.71082*exp(-0.480351*x)*cos(1.57491*x) + 1.19062*cos(2.32421*x) - 0.884721)/2.01672 = 0,nan,inf,False,2.4922250013332814,2.6089130651907144,1.845857531818076e-13,True,2.423302001261618,baseline
20,67,5,4.34524*exp(-0.149603*x)*sin(1.79209*x) - -0.419948 = 0,nan,inf,False,2.521025002351962,12.66045480531081,9.771128350877234e-11,True,2.1580589964287356,baseline
20,68,0,1.66248 * exp(-0.598107*x) * cos(1.91526*x) - 0.956496 = 0,nan,inf,False,2.837549996911548,0.3941742925952225,2.345246219448427e-11,True,2.182550997531507,baseline
20,69,10,(784.26*exp(-3.44547/(1+x)) - 56.5798)/31.57 = 0,nan,inf,False,2.3560150002595037,0.3105188023145056,3.755433299357714e-11,True,2.0163920053164475,baseline
20,70,2,(0.5*3.40707*x^2 + -1.20129*x^3 + 0.165373*x^4 - 2.9222)/2.9222 = 0,nan,inf,False,3.3456370001658797,-0.98039671463822,6.894218274085288e-11,True,1.8451460055075586,baseline
20,71,12,3.86414*exp(-0.402368*x)*sin(1.31471*x) - 0.937212 = 0,nan,inf,False,2.3924729975988157,0.20253052831878504,3.88500343007081e-11,True,2.208584002801217,baseline
20,72,2,(0.5*4.30314*x^2 + -0.710157*x^3 + 0.394142*x^4 - 2.95011)/2.95011 = 0,nan,inf,False,3.3465939995949157,1.2525395230252276,2.3047370597738334e-11,True,1.8441360007273033,baseline
20,73,0,(2.82477 * exp(-0.229632*x) * cos(1.1766*x) - -0.248715)/3.07348 = 0,nan,inf,False,2.4281270016217604,8.738334611547891,4.468403123643283e-11,True,2.1637259997078218,baseline
20,74,2,(0.5*2.08319*x^2 + -0.275469*x^3 + 0.667164*x^4 - 2.85747)/2.85747 = 0,nan,inf,False,3.7257130024954677,-1.1357788268099727,3.1053157170553324e-12,True,1.8329480008105747,baseline
20,75,9,(0.86642 + -0.766554*x + -1.73169*log(1+-0.0725988*x) - -0.365591)/1.23201 = 0,nan,inf,False,2.2395010018954054,1.9525298061374938,1.5047364928199337e-11,True,1.988174997677561,baseline
20,76,0,(1.67415 * exp(-0.794126*x) * cos(0.539632*x) - -0.258013)/1.93216 = 0,nan,inf,False,2.275544000440277,nan,inf,False,1.4947029994800687,none
