func_id,n_fail,n_all,fail_rate,top_reasons
5,360,1229,0.292921,baseline_fail:no_bracket:360
12,322,1235,0.260729,baseline_fail:no_bracket:322
11,188,642,0.292835,baseline_fail:no_bracket:188
6,187,745,0.251007,baseline_fail:no_bracket:187
10,158,406,0.389163,baseline_fail:no_bracket:158
0,143,1397,0.102362,baseline_fail:no_bracket:143
9,86,366,0.234973,baseline_fail:no_bracket:86
1,25,1544,0.016192,baseline_fail:no_bracket:25
8,18,130,0.138462,baseline_fail:no_bracket:18
2,0,816,0.000000,
3,0,280,0.000000,
13,0,864,0.000000,
14,0,346,0.000000,
